orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
-1,IT,quantile,0.25,14.364524226524956,2025,51,ARI
0,IT,quantile,0.25,17.012643977043417,2025,51,ARI
1,IT,quantile,0.25,17.956955133680324,2025,51,ARI
2,IT,quantile,0.25,17.155404585400333,2025,51,ARI
3,IT,quantile,0.25,16.438608134312734,2025,51,ARI
4,IT,quantile,0.25,16.08944000809903,2025,51,ARI
-1,IT,quantile,0.3,14.405011949173902,2025,51,ARI
0,IT,quantile,0.3,17.04566501317156,2025,51,ARI
1,IT,quantile,0.3,18.0395151878538,2025,51,ARI
2,IT,quantile,0.3,17.275237209400906,2025,51,ARI
3,IT,quantile,0.3,16.653524520239873,2025,51,ARI
4,IT,quantile,0.3,16.292038471864178,2025,51,ARI
-1,IT,quantile,0.35,14.445916665952725,2025,51,ARI
0,IT,quantile,0.35,17.07729072629625,2025,51,ARI
1,IT,quantile,0.35,18.114511979556063,2025,51,ARI
2,IT,quantile,0.35,17.379550125110196,2025,51,ARI
3,IT,quantile,0.35,16.803447339799895,2025,51,ARI
4,IT,quantile,0.35,16.750239579239384,2025,51,ARI
-1,IT,quantile,0.4,14.50513010516589,2025,51,ARI
